"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SOTT1Exposure","SOTMeaslesT1Exposure","SOTMeaslesT1Exposure","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Exposure","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1Exposure","SOTMeaslesT1Exposure.id","SOTMeaslesT1Exposure.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1Exposure","SOTMeaslesT1Exposure.extension","SOTMeaslesT1Exposure.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Exposure","SOTMeaslesT1Exposure.modifierExtension","SOTMeaslesT1Exposure.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1Exposure","SOTMeaslesT1Exposure.ContactsBeforeSymptom","SOTMeaslesT1Exposure.ContactsBeforeSymptom","","","",0,1,"","","","markdown {[]} {[]}
","Contacts 7-23 days before symptom onset","Persons who came in contact with the case 7–23 days before symptom onset (source of case’s infection). Determine if any of them had rash illness with fever. exposed by the case)","","","","","","","","","",,,,,"",,,,"SOTMeaslesT1Exposure.ContactsBeforeSymptom",0,1,"",""
"SOTT1Exposure","SOTMeaslesT1Exposure.ContactsAroundRash","SOTMeaslesT1Exposure.ContactsAroundRash","","","",0,1,"","","","markdown {[]} {[]}
","Potential persons exposed by the case","Persons who came in contact with the case in the four days prior to and four days after rash onset ","","","","","","","","","",,,,,"",,,,"SOTMeaslesT1Exposure.ContactsAroundRash",0,1,"",""
"SOTT1Exposure","SOTMeaslesT1Exposure.PregnantWomanContact","SOTMeaslesT1Exposure.PregnantWomanContact","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Was the patient in contact with any pregnant woman?","Was the patient in contact with any pregnant woman?","","","","","","","","","",,,,,"",,,,"SOTMeaslesT1Exposure.PregnantWomanContact",0,1,"",""
"SOTT1Exposure","SOTMeaslesT1Exposure.Names","SOTMeaslesT1Exposure.Names","","","",0,*,"","","","string {[]} {[]}
","Names, if yes","Names","","","","","","","","","",,,,,"",,,,"SOTMeaslesT1Exposure.Names",0,*,"",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing","SOTMeaslesContactTracing","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Contact Tracing","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.id","SOTMeaslesContactTracing.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.extension","SOTMeaslesContactTracing.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.modifierExtension","SOTMeaslesContactTracing.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTMeaslesContactTracing","SOTMeaslesContactTracing.ContactsBeforeSymptom","SOTMeaslesContactTracing.ContactsBeforeSymptom","","","",0,1,"","","","markdown {[]} {[]}
","Contacts 7-23 days before symptom onset","Persons who came in contact with the case 7–23 days before symptom onset (source of case’s infection). Determine if any of them had rash illness with fever. exposed by the case)","","","","","","","","","",,,,,"",,,,"SOTMeaslesContactTracing.ContactsBeforeSymptom",0,1,"",""
