Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ritikarawlani.smart-outbreak-measles.json	22074	-	0	0	0	0	0	0	6	104	0	0	0	0	0	0	0	0	0	0	198	145	0	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-SOTT1ClinicalTreatmentInfo.json	2800	7	0	0	0	0	0	25	0	92	0	0	0	0	0	0	0	1	0	0	64	1516	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SOTT1ExposurePersonalAssumption.json	3494	6	0	0	0	0	0	34	0	25	0	0	0	0	0	0	0	4	0	0	65	382	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-AnimalContactType.json	432	2	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	5	9017	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-BiologicalSex.json	691	2	0	0	0	0	0	0	0	1932	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SOTT1ClinicalCardiology.json	5752	11	0	0	0	0	0	50	0	55	0	0	0	0	0	0	0	0	0	0	105	402	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-SOTT1ClinicalNeurology.json	6098	11	1	0	0	0	0	42	0	45	0	0	0	0	0	0	0	1	0	0	102	301	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-PlaceOfCareCs.json	540	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	47	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SOTMeaslesEpiData.json	3492	7	0	0	0	0	0	34	0	32	0	0	1	0	0	0	0	0	0	0	65	230	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-SOTMeasles.json	3980	8	0	0	0	0	0	35	0	53	0	0	0	0	0	0	0	0	0	0	71	257	0	0	0	0	2	0	0
